development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
clp-S10A,"Changes of Use on Ground and Upper Floors in High Street, Great Missenden as Defined on the Proposals Map",,local-authority-eng:BUC,area/location-specific-policy;development-management;housing;retail,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S10A
clp-S11,Shop Fronts Throughout the District,,local-authority-eng:BUC,design,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S11
clp-S12,Rear Servicing in Chesham and Amersham-on-the-Hill District Shopping Centres as Defined on the Proposals Map,,local-authority-eng:BUC,area/location-specific-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S12
clp-S13,Small Scale Shopping Developments Outside District and Local Centres in Built-up Areas Excluded From the Green Belt,,local-authority-eng:BUC,area/location-specific-policy;development-management;retail,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S13
clp-S14,Other Shopping Developments Outside District and Local Centres in Built-up Areas Excluded From the Green Belt,,local-authority-eng:BUC,area/location-specific-policy;development-management;retail,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S14
clp-S2,"Chesham, Amersham-on-the-Hill and Chalfont St Peter District Centres as Defined on the Proposals Map - Additional Shopping Floorspace",,local-authority-eng:BUC,area/location-specific-policy;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S2
clp-S3,The Local Centres as Defined on the Proposals Map Additional Shopping Floorspace,,local-authority-eng:BUC,area/location-specific-policy;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S3
clp-S4,Change of Use to Class A1 Shop - Ground Floors - All Centres as Defined on the Proposals Map,,local-authority-eng:BUC,area/location-specific-policy;development-management;retail,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S4
clp-S5-AH,"Shopping Frontages in the District Shopping Centre of Amersham-on-the-Hill as Defined on the Proposals Map - Changes of Use To, or Between, Non Class A1 Shop Uses on Ground Floors",,local-authority-eng:BUC,area/location-specific-policy;development-management;retail;retail-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S5-AH
clp-S5-CH,"Chesham District Shopping Centre: - Principal Shopping Frontages And Other Shopping Frontages As Defined On The Proposals Map - Changes Of Use To, or Between, Non - Class A1 Shop Uses On Ground Floors",,local-authority-eng:BUC,area/location-specific-policy;development-management;retail;retail-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S5-CH
clp-S5-CSP,"Chalfont St Peter District Shopping Centre: - Principal Shopping Frontages And Other Shopping Frontages As Defined On The Proposals Map - Changes Of Use To, or Between, Non - Class A1 Shop Uses On Ground Floors",,local-authority-eng:BUC,area/location-specific-policy;development-management;retail;retail-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S5-CSP
clp-S7,"Shopping Frontages in the Local Shopping Centres as Defined on the Proposals Map - Changes of Use To, or Between, Non - Class A1 Shop Uses on Ground Floors",,local-authority-eng:BUC,area/location-specific-policy;community-facilities;development-management;retail;retail-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S7
clp-S9,Uses on Upper Floors in District and Local Shopping Centres as Defined on the Proposals Map,,local-authority-eng:BUC,area/location-specific-policy;retail,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-S9
clp-T2,Hotels and Guest Houses in the Green Belt,,local-authority-eng:BUC,green-belt;tourism,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-T2
clp-T4,Sites for Touring Holiday Caravans and Touring Holiday Tents in the Green Belt,,local-authority-eng:BUC,green-belt;tourism,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-T4
clp-TD1,Network Developments Throughout the District,,local-authority-eng:BUC,broadband;infrastructure;communications;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TD1
clp-TD2,Other Telecommunications Development Throughout the District,,local-authority-eng:BUC,broadband;infrastructure;communications;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TD2
clp-TR11,Provision of Off-Street Parking for Developments Throughout the District,,local-authority-eng:BUC,car-parks;parking,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR11
clp-TR12,Relaxation of Parking Standards Throughout the District,,local-authority-eng:BUC,car-parks;parking,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR12
clp-TR14,Retention of Existing Areas of Off-Street Vehicle Parking Throughout the District,,local-authority-eng:BUC,car-parks;parking,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR14
clp-TR15,Design of Parking Areas Throughout the District,,local-authority-eng:BUC,car-parks;design,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR15
clp-TR16,Parking and Manoeuvring Standards Throughout the District,,local-authority-eng:BUC,car-parks;development-management,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR16
clp-TR2,Highway Aspects of Planning Applications Throughout the District,,local-authority-eng:BUC,highways,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR2
clp-TR3,Access and Road Layout Throughout the District,,local-authority-eng:BUC,highways,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR3
clp-TR6,"Extension of Sycamore Road Car Park, Amersham",,local-authority-eng:BUC,area/location-specific-policy,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR6
clp-TR9,"Land North-West of Water Meadow Car Park, Chesham",,local-authority-eng:BUC,car-parks;allocated-sites,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TR9
clp-TW2,Consent for Works to Trees Covered By A Tree Preservation Order Throughout the District,,local-authority-eng:BUC,trees,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TW2
clp-TW3,Resistance to Loss of Trees Covered By A Tree Preservation Order Throughout the District,,local-authority-eng:BUC,trees,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TW3
clp-TW6,Resistance to Loss of Woodland Throughout the District,,local-authority-eng:BUC,trees,E07000005,,2020-12-21,1997-09-01,,/development-policy/local-authority-eng/BUC/clp-TW6
dawshillndp-P1,Protection and Improvement of the Natural Environment,,local-authority-eng:BUC,development-management;nature,/development-policy-area/local-authority-eng/BUC/LPP1,,2020-12-21,2019-12-12,,/development-policy/local-authority-eng/BUC/dawshillndp-P1
dawshillndp-P2,"Trees, Hedgerows and Woodlands",,local-authority-eng:BUC,trees,/development-policy-area/local-authority-eng/BUC/LPP2,,2020-12-21,2019-12-12,,/development-policy/local-authority-eng/BUC/dawshillndp-P2
dawshillndp-P3,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,/development-policy-area/local-authority-eng/BUC/LPP3,,2020-12-21,2019-12-12,,/development-policy/local-authority-eng/BUC/dawshillndp-P3
dawshillndp-P4,Backland Development,,local-authority-eng:BUC,development-management,/development-policy-area/local-authority-eng/BUC/LPP4,,2020-12-21,2019-12-12,,/development-policy/local-authority-eng/BUC/dawshillndp-P4
dawshillndp-P5,Flooding and Drainage,,local-authority-eng:BUC,flooding,/development-policy-area/local-authority-eng/BUC/LPP5,,2020-12-21,2019-12-12,,/development-policy/local-authority-eng/BUC/dawshillndp-P5
dawshillndp-P6,Quality Design,,local-authority-eng:BUC,design,/development-policy-area/local-authority-eng/BUC/LPP6,,2020-12-21,2019-12-12,,/development-policy/local-authority-eng/BUC/dawshillndp-P6
dawshillndp-P7,New Shops,,local-authority-eng:BUC,retail,/development-policy-area/local-authority-eng/BUC/LPP7,,2020-12-21,2019-12-12,,/development-policy/local-authority-eng/BUC/dawshillndp-P7
dawshillndp-P8,Scale of Local Non-Residential Development,,local-authority-eng:BUC,development-management,/development-policy-area/local-authority-eng/BUC/LPP8,,2020-12-21,2019-12-12,,/development-policy/local-authority-eng/BUC/dawshillndp-P8
dsa-DM1,Presumption in Favour of Sustainable Development,,local-authority-eng:BUC,development-management,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM1
dsa-DM10,Thresholds for the Assessment of Schemes for Town Centre Impact,,local-authority-eng:BUC,retail-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM10
dsa-DM11,Green Networks and Infrastructure,,local-authority-eng:BUC,biodiversity,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM11
dsa-DM12,Green Spaces,,local-authority-eng:BUC,community-facilities;designation,/development-policy-area/local-authority-eng/BUC/LPDM12,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM12
dsa-DM13,"Conservation and Enhancement of Sites, Habitats and Species of Biodiversity and Geodiversity Importance",,local-authority-eng:BUC,biodiversity;development-management;ecology,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM13
dsa-DM14,Biodiversity In Development,,local-authority-eng:BUC,biodiversity;development-management,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM14
dsa-DM15,Protection and Enhancement of River and Stream Corridors,,local-authority-eng:BUC,water,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM15
dsa-DM16,Open Space in New Development,,local-authority-eng:BUC,open-space,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM16
dsa-DM19,Infrastructure and Delivery,,local-authority-eng:BUC,infrastructure,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM19
dsa-DM2,Transport Requirements of Development Sites,,local-authority-eng:BUC,transport,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM2
dsa-DM3,Transport Improvement Lines,,local-authority-eng:BUC,transport,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM3
dsa-DM4,Former Bourne End To High Wycombe Railway Line,,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM4
dsa-DM5,Scattered Business Sites,,local-authority-eng:BUC,development-management,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM5
dsa-DM6,Mixed-Use Development,,local-authority-eng:BUC,development-management,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM6
dsa-DM7,Town Centre Boundaries,,local-authority-eng:BUC,town-centres,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM7
dsa-DM8,The Primary Shopping Areas,,local-authority-eng:BUC,retail-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM8
dsa-DM9,District Centres,,local-authority-eng:BUC,retail-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-DM9
dsa-HW1,Desborough Delivery and Design Framework,,local-authority-eng:BUC,design;regeneration;strategic-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-HW1
dsa-HW2,Delivering New Open Space and River Corridor Improvements,,local-authority-eng:BUC,open-space;water,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-HW2
dsa-HW3,Green Street School,,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-HW3
dsa-HWTC1,Delivering the Town Centre Vision,,local-authority-eng:BUC,development-management;town-centres,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-HWTC1
dsa-HWTC10,Swan Frontage,,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-HWTC10
dsa-HWTC11,Wycombe Hospital,,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-HWTC11
dsa-HWTC12,Chilterns Shopping Centre And Frogmoor East,,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-HWTC12
dsa-HWTC13,Lily’s Walk (Former Gas Works Site),,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-HWTC13
