development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
avdlp-RA17,Replacement dwellings in the Metropolitan Green Belt and special landscape areas,,local-authority-eng:BUC,green-belt;housing;nature,GIS - Green Belt,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA17
avdlp-RA18,Extensions to dwellings in the Metropolitan Green Belt and special landscape areas,,local-authority-eng:BUC,green-belt;existing-housing;residential-alterations,GIS - Green Belt,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA18
avdlp-RA2,Loss of open gaps and consolidation of settlements,,local-authority-eng:BUC,,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA2
avdlp-RA24,Occupancy conditions for horse-related dwellings,,local-authority-eng:BUC,equestrian-facilities;housing,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA24
avdlp-RA25,Calvert,,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA25
avdlp-RA26,Pitstone,,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA26
avdlp-RA29,Proposals for new employment uses in the countryside,,local-authority-eng:BUC,area/location-specific-policy;employment,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA29
avdlp-RA3,Extension of residential curtilages into open countryside,,local-authority-eng:BUC,residential-alterations,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA3
avdlp-RA30,Employment at Silverstone Motor Racing Circuit,,local-authority-eng:BUC,area/location-specific-policy;employment,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA30
avdlp-RA31,Silverstone Employment Area,,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA31
avdlp-RA32,"Employment at the Royal Ordnance site, Westcott",,local-authority-eng:BUC,area/location-specific-policy;employment,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA32
avdlp-RA33,Westcott Sports and Social Club,,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA33
avdlp-RA34,Development of Newton Longville Brickworks,,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA34
avdlp-RA35,Safeguarded road corridor at Newton Longville Brickworks,,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA35
avdlp-RA36,Development causing traffic adversely affecting rural roads,,local-authority-eng:BUC,highways;transport,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA36
avdlp-RA37,New accesses to inter-urban A-class or Trunk Roads,,local-authority-eng:BUC,highways,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA37
avdlp-RA4,Considerations for countryside recreation,,local-authority-eng:BUC,leisure,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA4
avdlp-RA5,New golf courses,,local-authority-eng:BUC,leisure,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA5
avdlp-RA6,Development in the Metropolitan Green Belt,,local-authority-eng:BUC,green-belt,GIS - Green Belt,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA6
avdlp-RA8,Development in the Areas of Attractive Landscape and Local Landscape Areas,,local-authority-eng:BUC,development-management;nature,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-RA8
avdlp-WE1,Development at Princess Mary's Hospital,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-WE1
avdlp-WE2,The Central Shopping Area (CSA),,local-authority-eng:BUC,retail-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-WE2
avdlp-WI1,Housing development at Verney Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites;housing,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-WI1
avdlp-WI2,Employment development at Buckingham Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites;employment,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-WI2
avdlp-WI3,The Central Shopping Area (CSA),,local-authority-eng:BUC,retail-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-WI3
