description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,valp-D-BUC043,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land west of AVDLP allocation BU1 Moreton Road, Buckingham",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-BUC043
,valp-D-BUC051,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"West Buckingham, land bound by Brackley Road and the River Great Ouse",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-BUC051
,valp-D-BUC046,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Land off Osier Way (south of A421 and east of Gawcott Road),,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-BUC046
,valp-D-HAD007,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Land north of Rosemary Lane,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-HAD007
,valp-D-HAL003,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,RAF Halton,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-HAL003
,valp-D-WIN001,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land to east of B4033, Great Horwood Road",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-WIN001
,valp-D-SCD003,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Land at Queen Catherine Road,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-SCD003
,valp-D-SCD008,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land at Molly’s Folly/Molly’s Field, west of Addison Road",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-SCD008
,valp-D-STO008,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land south of Creslow Way, Stone",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-STO008
,valp-D-WHI009,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Holt’s Field, Whitchurch",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-WHI009
,valp-D-CDN001,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Land north of Aylesbury Road and rear of Great Stone House,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-CDN001
,valp-D-CDN003,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Dadbrook Farm,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-CDN003
,valp-D-ICK004,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Land off Turnfields,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-ICK004
,valp-D-MMO006,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Land east of Walnut Drive and west of Foscote Road,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-MMO006
,valp-D-MGB003,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Leopold Farm and area to the west,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-MGB003
,valp-D-NLV005,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land south of Whaddon Road and west of Lower Rd, Newton Longville",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-NLV005
,valp-D-QUA001,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land south west of 62 Station Road, Quainton",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-QUA001
,valp-D-QUA0014-016,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land adjacent to Station Road, Quainton",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D-QUA0014-016
,valp-D3,housing;area/location-specific-policy,,2020-12-21,E07000004,Housing development at smaller villages,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D3
,valp-D4,housing;area/location-specific-policy,,2020-12-21,E07000004,Housing at other settlements,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D4
,valp-D5,employment,,2020-12-21,E07000004,Provision of employment land,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D5
,valp-D6,community-facilities;town-centres,,2020-12-21,E07000004,"Town, village and local centres to support new and existing communities",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D6
,valp-D7,area/location-specific-policy;town-centres,,2020-12-21,E07000004,Town centre redevelopment,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D7
,valp-D8,area/location-specific-policy;town-centres,,2020-12-21,E07000004,Aylesbury town centre,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D8
,valp-D9,area/location-specific-policy;housing,,2020-12-21,E07000004,Housing in Aylesbury town centre,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D9
,valp-D10,gypsy-and-travellers,,2020-12-21,E07000004,"Gypsy, Traveller and Travelling Showpeople sites",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D10
,valp-H1,affordable-housing,,2020-12-21,E07000004,Affordable housing,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-H1
,valp-H2,affordable-housing,,2020-12-21,E07000004,Rural exception sites,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-H2
,valp-H3,specialised-housing,,2020-12-21,E07000004,Rural workers dwellings,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-H3
,valp-H4,housing;area/location-specific-policy,,2020-12-21,E07000004,Replacement dwellings in the countryside,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-H4
,valp-H5,specialised-housing,,2020-12-21,E07000004,Self/custom build housing,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-H5
,valp-H6,housing-mix,,2020-12-21,E07000004,Housing mix,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-H6
,valp-H7,development-management,,2020-12-21,E07000004,Dwelling sizes,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-H7
,valp-E1,employment,,2020-12-21,E07000004,Protection of key employment sites,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E1
,valp-E2,development-management,,2020-12-21,E07000004,Other employment sites,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E2
,valp-E3,development-management;employment,,2020-12-21,E07000004,Ancillary uses on employment land,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E3
,valp-E4,development-management,,2020-12-21,E07000004,Working at home,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E4
,valp-E5,development-management,,2020-12-21,E07000004,Development outside town centres,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E5
,valp-E6,development-management;retail,,2020-12-21,E07000004,Shop and business frontages,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E6
,valp-E7,development-management;tourism,,2020-12-21,E07000004,Tourism development,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E7
,valp-E8,development-management;tourism,,2020-12-21,E07000004,Tourist accommodation,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E8
,valp-E9,development-management,,2020-12-21,E07000004,Agricultural development,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E9
,valp-E10,area/location-specific-policy,,2020-12-21,E07000004,Silverstone Circuit,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-E10
,valp-T1,transport;strategic-policy,,2020-12-21,E07000004,Delivering the sustainable transport vision,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-T1
,valp-T2,transport,,2020-12-21,E07000004,Protected Transport Schemes,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-T2
,valp-T3,transport,,2020-12-21,E07000004,Supporting transport schemes,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-T3
,valp-T4,transport,,2020-12-21,E07000004,Delivering transport in new development,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-T4
,valp-T5,car-parks;parking,,2020-12-21,E07000004,Vehicle Parking,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-T5
,valp-T6,cycling,,2020-12-21,E07000004,Footpaths and cycle routes,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-T6
,valp-T7,infrastructure,,2020-12-21,E07000004,Electric vehicle infrastructure,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-T7
,valp-BE1,conservation-area;heritage;listed-buildings,,2020-12-21,E07000004,Heritage assets,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-BE1
,valp-BE2,design,,2020-12-21,E07000004,Design of new development,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-BE2
,valp-BE3,,,2020-12-21,E07000004,Protection of the amenity of residents,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-BE3
,valp-BE4,density,,2020-12-21,E07000004,Density of new development,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-BE4
,valp-NE1,designation,,2020-12-21,E07000004,Protected sites,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE1
,valp-NE2,biodiversity,,2020-12-21,E07000004,Biodiversity and geodiversity,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE2
,valp-NE3,water,,2020-12-21,E07000004,River and stream corridors,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE3
,valp-NE4,designation;nature,,2020-12-21,E07000004,The Chilterns AONB and setting,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE4
,valp-NE5,nature,,2020-12-21,E07000004,Landscape character and locally important landscape,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE5
,valp-NE6,air-quality;contamination,,2020-12-21,E07000004,"Pollution, air quality and contaminated land",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE6
,valp-NE7,community-facilities;designation,,2020-12-21,E07000004,Local green space,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE7
,valp-NE8,,,2020-12-21,E07000004,Best and most versatile agricultural land,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE8
,valp-NE9,trees,,2020-12-21,E07000004,"Trees, hedgerows and woodlands",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-NE9
,valp-C1,development-management,,2020-12-21,E07000004,Conversion of rural buildings,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-C1
,valp-C2,equestrian-facilities,,2020-12-21,E07000004,Equestrian development,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-C2
,valp-C3,energy,,2020-12-21,E07000004,Renewable Energy,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-C3
,valp-C4,infrastructure,,2020-12-21,E07000004,Protection of public rights of way,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-C4
,valp-I1,biodiversity;nature;ecology,,2020-12-21,E07000004,Green infrastructure,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-I1
