description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,avdlp-WE1,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Development at Princess Mary's Hospital,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-WE1
,avdlp-WE2,retail-policy,,2020-12-21,E07000004,The Central Shopping Area (CSA),,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-WE2
,avdlp-HA1,area/location-specific-policy;allocated-sites;employment,,2020-12-21,E07000004,Employment development at Thame Road,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-HA1
,avdlp-HA2,area/location-specific-policy;retail-policy,,2020-12-21,E07000004,Primary Shopping Frontage at Banks Parade,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-HA2
,avdlp-WI1,area/location-specific-policy;allocated-sites;housing,,2020-12-21,E07000004,Housing development at Verney Road,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-WI1
,avdlp-WI2,area/location-specific-policy;allocated-sites;employment,,2020-12-21,E07000004,Employment development at Buckingham Road,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-WI2
,avdlp-WI3,retail-policy,,2020-12-21,E07000004,The Central Shopping Area (CSA),,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-WI3
,avdlp-RA2,,,2020-12-21,E07000004,Loss of open gaps and consolidation of settlements,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA2
,avdlp-RA3,residential-alterations,,2020-12-21,E07000004,Extension of residential curtilages into open countryside,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA3
,avdlp-RA4,leisure,,2020-12-21,E07000004,Considerations for countryside recreation,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA4
,avdlp-RA5,leisure,,2020-12-21,E07000004,New golf courses,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA5
,avdlp-RA6,green-belt,,2020-12-21,GIS - Green Belt,Development in the Metropolitan Green Belt,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA6
,avdlp-RA8,development-management;nature,,2020-12-21,E07000004,Development in the Areas of Attractive Landscape and Local Landscape Areas,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA8
,avdlp-RA11,development-management,,2020-12-21,E07000004,Conversion of buildings in the countryside,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA11
,avdlp-RA13,area/location-specific-policy;development-management,,2020-12-21,E07000004,Development within settlements listed in Appendix 4,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA13
,avdlp-RA14,area/location-specific-policy;development-management,,2020-12-21,E07000004,Development at the edge of Appendix 4 settlements,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA14
,avdlp-RA17,green-belt;housing;nature,,2020-12-21,GIS - Green Belt,Replacement dwellings in the Metropolitan Green Belt and special landscape areas,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA17
,avdlp-RA18,green-belt;existing-housing;residential-alterations,,2020-12-21,GIS - Green Belt,Extensions to dwellings in the Metropolitan Green Belt and special landscape areas,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA18
,avdlp-RA24,equestrian-facilities;housing,,2020-12-21,E07000004,Occupancy conditions for horse-related dwellings,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA24
,avdlp-RA25,area/location-specific-policy,,2020-12-21,E07000004,Calvert,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA25
,avdlp-RA26,area/location-specific-policy,,2020-12-21,E07000004,Pitstone,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA26
,avdlp-RA29,area/location-specific-policy;employment,,2020-12-21,E07000004,Proposals for new employment uses in the countryside,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA29
,avdlp-RA30,area/location-specific-policy;employment,,2020-12-21,E07000004,Employment at Silverstone Motor Racing Circuit,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA30
,avdlp-RA31,area/location-specific-policy,,2020-12-21,E07000004,Silverstone Employment Area,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA31
,avdlp-RA32,area/location-specific-policy;employment,,2020-12-21,E07000004,"Employment at the Royal Ordnance site, Westcott",,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA32
,avdlp-RA33,area/location-specific-policy,,2020-12-21,E07000004,Westcott Sports and Social Club,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA33
,avdlp-RA34,area/location-specific-policy,,2020-12-21,E07000004,Development of Newton Longville Brickworks,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA34
,avdlp-RA35,area/location-specific-policy,,2020-12-21,E07000004,Safeguarded road corridor at Newton Longville Brickworks,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA35
,avdlp-RA36,highways;transport,,2020-12-21,E07000004,Development causing traffic adversely affecting rural roads,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA36
,avdlp-RA37,highways,,2020-12-21,E07000004,New accesses to inter-urban A-class or Trunk Roads,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-RA37
,valp-S1,development-management,,2020-12-21,E07000004,Sustainable development for Aylesbury Vale,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S1
,valp-S2,strategic-policy,,2020-12-21,E07000004,Spatial strategy for growth,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S2
,valp-S3,strategic-policy,,2020-12-21,E07000004,Settlement hierarchy and cohesive development,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S3
,valp-S4,green-belt;strategic-policy,,2020-12-21,GIS - Green Belt,Green Belt,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S4
,valp-S5,infrastructure;strategic-policy,,2020-12-21,E07000004,Infrastructure,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S5
,valp-S6,gypsy-and-travellers;strategic-policy,,2020-12-21,E07000004,"Gypsy, Traveller and Travelling Showpeople provision",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S6
,valp-S7,strategic-policy,,2020-12-21,E07000004,Previously developed land,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S7
,valp-S8,strategic-policy,,2020-12-21,E07000004,Neighbourhood plans,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S8
,valp-S9,monitoring;strategic-policy,,2020-12-21,E07000004,Monitoring and review,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-S9
,valp-D1,area/location-specific-policy,,2020-12-21,E07000004,Delivering Aylesbury Garden Town,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1
,valp-D1-AGT1,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,South Aylesbury,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AGT1
,valp-D1-AGT2,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,South west Aylesbury,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AGT2
